k, u, y
868, 8.000000, 2.351292
869, 8.000000, 2.344715
870, 8.000000, 2.346360
871, 8.000000, 2.346360
872, 8.000000, 2.347017
873, 8.000000, 2.342413
874, 8.000000, 2.345044
875, 8.000000, 2.342413
876, 8.000000, 2.348004
877, 8.000000, 2.346031
878, 8.000000, 2.345702
879, 8.000000, 2.348333
880, 8.000000, 2.347346
881, 8.000000, 2.349319
882, 8.000000, 2.342085
883, 8.000000, 2.347017
884, 8.000000, 2.347675
885, 8.000000, 2.341756
886, 8.000000, 2.347346
887, 8.000000, 2.340440
888, 8.000000, 2.344386
889, 8.000000, 2.337481
890, 8.000000, 2.342413
891, 8.000000, 2.335836
892, 8.000000, 2.351621
893, 8.000000, 2.337809
894, 8.000000, 2.330575
895, 8.000000, 2.351950
896, 8.000000, 2.347346
897, 8.000000, 2.337152
898, 8.000000, 2.344715
899, 8.000000, 2.340769
900, 8.000000, 2.340111
901, 8.000000, 2.346688
902, 8.000000, 2.336165
903, 8.000000, 2.342413
904, 8.000000, 2.341756
905, 8.000000, 2.344715
906, 8.000000, 2.341098
907, 8.000000, 2.337809
908, 8.000000, 2.342085
909, 8.000000, 2.346031
910, 8.000000, 2.340111
911, 8.000000, 2.338796
912, 8.000000, 2.341427
913, 8.000000, 2.342085
914, 8.000000, 2.341427
915, 8.000000, 2.338138
916, 8.000000, 2.337809
917, 8.000000, 2.337809
918, 8.000000, 2.339454
919, 8.000000, 2.340769
920, 8.000000, 2.336494
921, 8.000000, 2.340440
922, 8.000000, 2.338138
923, 8.000000, 2.339454
924, 8.000000, 2.342742
925, 8.000000, 2.334850
926, 8.000000, 2.337481
927, 8.000000, 2.339125
928, 8.000000, 2.335507
929, 8.000000, 2.337481
930, 8.000000, 2.336823
931, 8.000000, 2.334521
932, 8.000000, 2.337809
933, 8.000000, 2.335179
934, 8.000000, 2.335179
935, 8.000000, 2.340111
936, 8.000000, 2.336494
937, 8.000000, 2.338796
938, 8.000000, 2.333534
939, 8.000000, 2.335179
940, 8.000000, 2.338467
941, 8.000000, 2.331561
942, 8.000000, 2.330575
943, 8.000000, 2.332877
944, 8.000000, 2.331890
945, 8.000000, 2.338796
946, 8.000000, 2.337152
947, 8.000000, 2.334850
948, 8.000000, 2.337481
949, 8.000000, 2.332219
950, 8.000000, 2.332219
951, 8.000000, 2.332548
952, 8.000000, 2.332548
953, 8.000000, 2.330575
954, 8.000000, 2.337481
955, 8.000000, 2.332877
956, 8.000000, 2.333205
957, 8.000000, 2.335836
958, 8.000000, 2.332219
959, 8.000000, 2.331232
960, 8.000000, 2.332548
961, 8.000000, 2.331232
962, 8.000000, 2.333205
963, 8.000000, 2.332548
964, 8.000000, 2.334192
965, 8.000000, 2.333534
966, 8.000000, 2.329588
967, 8.000000, 2.328930
968, 8.000000, 2.330575
969, 8.000000, 2.332548
970, 8.000000, 2.330575
971, 8.000000, 2.327944
972, 8.000000, 2.328273
973, 8.000000, 2.330246
974, 8.000000, 2.330246
975, 8.000000, 2.327615
976, 8.000000, 2.330575
977, 8.000000, 2.331561
978, 8.000000, 2.329588
979, 8.000000, 2.330575
980, 8.000000, 2.331232
981, 8.000000, 2.328273
982, 8.000000, 2.333863
983, 8.000000, 2.328273
984, 8.000000, 2.326300
985, 8.000000, 2.326628
986, 8.000000, 2.329588
987, 8.000000, 2.327286
988, 8.000000, 2.328273
989, 8.000000, 2.326628
990, 8.000000, 2.328602
991, 8.000000, 2.325642
992, 8.000000, 2.326957
993, 8.000000, 2.328930
994, 8.000000, 2.327615
995, 8.000000, 2.326300
996, 8.000000, 2.330575
997, 8.000000, 2.328930
