k,y_pred
2375,2.9486612949627053
2376,2.9491279850966734
2377,2.949593372231979
2378,2.950057460006594
2379,2.9505202520483325
2380,2.9509817519748807
2381,2.951441963393824
2382,2.951900889902674
2383,2.9523585350889
2384,2.9528149025299544
2385,2.9532699957933004
2386,2.9537238184364423
2387,2.954176374006951
2388,2.9546276660424926
2389,2.9550776980708564
2390,2.9555264736099818
2391,2.955973996167986
2392,2.9564202692431922
2393,2.956865296324156
2394,2.9573090808896922
2395,2.957751626408904
2396,2.9581929363412076
2397,2.9586330141363617
2398,2.9590718632344926
2399,2.959509487066122
2400,2.9599458890521926
2401,2.9603810726040978
2402,2.9608150411237046
2403,2.961247798003383
2404,2.961679346626031
2405,2.9621096903651023
2406,2.9625388325846305
2407,2.962966776639258
2408,2.963393525874261
2409,2.963819083625575
2410,2.964243453219822
2411,2.9646666379743363
2412,2.9650886411971897
2413,2.965509466187218
2414,2.9659291162340473
2415,2.966347594618118
2416,2.9667649046107125
2417,2.967181049473979
2418,2.9675960324609583
2419,2.968009856815608
2420,2.96842252577283
2421,2.968834042558493
2422,2.969244410389459
2423,2.9696536324736096
2424,2.9700617120098696
2425,2.9704686521882318
2426,2.970874456189783
2427,2.9712791271867287
2428,2.9716826683424173
2429,2.9720850828113647
2430,2.9724863737392804
2431,2.97288654426309
2432,2.9732855975109618
2433,2.973683536602329
2434,2.974080364647917
2435,2.9744760847497647
2436,2.9748707000012504
2437,2.975264213487116
2438,2.975656628283491
2439,2.976047947457915
2440,2.976438174069365
2441,2.976827311168276
2442,2.977215361796567
2443,2.977602328987663
2444,2.9779882157665205
2445,2.97837302514965
2446,2.9787567601451395
2447,2.9791394237526796
2448,2.9795210189635846
2449,2.979901548760817
2450,2.9802810161190125
2451,2.9806594240044997
2452,2.9810367753753257
2453,2.9814130731812796
2454,2.9817883203639135
2455,2.9821625198565678
2456,2.9825356745843923
2457,2.98290778746437
2458,2.98327886140534
2459,2.983648899308019
2460,2.984017904065025
2461,2.984385878560902
2462,2.984752825672137
2463,2.9851187482671886
2464,2.985483649206505
2465,2.9858475313425483
2466,2.9862103975198178
2467,2.986572250574869
2468,2.9869330933363396
2469,2.987292928624968
2470,2.9876517592536187
2471,2.9880095880273014
2472,2.988366417743195
2473,2.988722251190668
2474,2.989077091151302
2475,2.9894309403989117
2476,2.9897838016995673
2477,2.9901356778116166
2478,2.9904865714857056
2479,2.9908364854648006
2480,2.9911854224842096
2481,2.991533385271604
2482,2.9918803765470385
2483,2.9922263990229747
2484,2.9925714554043004
2485,2.992915548388351
2486,2.9932586806649315
2487,2.9936008549163367
2488,2.9939420738173723
2489,2.994282340035377
2490,2.9946216562302403
2491,2.9949600250544273
2492,2.995297449152996
2493,2.99563393116362
2494,2.9959694737166087
2495,2.996304079434927
2496,2.9966377509342172
2497,2.9969704908228185
2498,2.9973023017017875
2499,2.9976331861649186
2500,2.9979631467987646
2501,2.9982921861826566
2502,2.9986203068887236
2503,2.9989475114819144
2504,2.9992738025200154
2505,2.999599182553672
2506,2.9999236541264085
2507,3.000247219774647
2508,3.0005698820277282
2509,3.0008916434079316
2510,3.0012125064304938
2511,3.0015324736036284
2512,3.001851547428547
2513,3.002169730399478
2514,3.002487025003685
2515,3.002803433721487
2516,3.0031189590262786
2517,3.003433603384549
2518,3.0037473692559002
2519,3.004060259093068
2520,3.004372275341938
2521,3.00468342044157
2522,3.0049936968242115
2523,3.00530310691532
2524,3.0056116531335815
2525,3.005919337890928
2526,3.0062261635925585
2527,3.006532132636956
2528,3.0068372474159073
2529,3.007141510314521
2530,3.007444923711247
2531,3.007747489977894
2532,3.0080492114796487
2533,3.008350090575094
2534,3.008650129616229
2535,3.008949330948484
2536,3.0092476969107422
2537,3.0095452298353567
2538,3.0098419320481677
2539,3.0101378058685224
2540,3.0104328536092924
2541,3.0107270775768913
2542,3.011020480071293
2543,3.0113130633860514
2544,3.011604829808315
2545,3.0118957816188474
2546,3.0121859210920445
2547,3.0124752504959513
2548,3.0127637720922813
2549,3.013051488136433
2550,3.0133384008775077
2551,3.013624512558327
2552,3.013909825415451
2553,3.014194341679195
2554,3.0144780635736477
2555,3.0147609933166875
2556,3.0150431331200007
2557,3.0153244851890992
2558,3.015605051723336
2559,3.015884834915925
2560,3.016163836953955
2561,3.0164420600184094
2562,3.0167195062841823
2563,3.016996177920095
2564,3.0172720770889137
2565,3.0175472059473663
2566,3.0178215666461594
2567,3.018095161329994
2568,3.0183679921375837
2569,3.018640061201671
2570,3.0189113706490427
2571,3.019181922600549
2572,3.019451719171118
2573,3.0197207624697726
2574,3.0199890545996477
2575,3.0202565976580065
2576,3.0205233937362563
2577,3.020789444919965
2578,3.0210547532888783
